topic_no,title_x,title_y,articleType_x,articleType_y,score
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Will Greek voters say goodbye to the euro on Sunday?,Europe,Monkey Cage,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Spain requests bailout help,Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Why the Greek referendum is the referendum from hell,Europe,Monkey Cage,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,,Europe,Europe,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greek debt write-down: The era of risk-free government bonds nears its end,Europe,Business,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Forget left and right: Europe’s divisions lie elsewhere,Europe,Opinions,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greek deadlock heightens fears of full European economic crisis,Europe,Business,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Everything you need to know about why Greece might leave the euro,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Why expectations for the E.U. summit are low,Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Europe is destroying Greece’s economy for no reason at all,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,18 key facts about Greece that will leave you totally up to date about a huge crisis,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Despite staggering costs of delay, new Greek plan offers no guarantees",Europe,Business,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Europe may not admit it, but its future is on the line in Greece",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece at new risk of being pushed off euro,Europe,Middle East,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Renewed Spanish economic fears drive down global stock markets,Europe,Business,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Why an agreement on Greece is so difficult,Europe,Monkey Cage,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,How the euro became a weapon of mass destruction,Europe,Opinions,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,The slow bank run that could still doom Europe,Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"As referendum looms, Greece struggles to agree on the question",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,German effort to save euro zone comes at a cost,Europe,Business,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Pro-bailout party leads Greek vote,Europe,Business,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,The euro can be saved. Can the E.U.?,Europe,Opinions,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"In Greek crisis, Germany should learn from its fiscal past",Europe,Opinions,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,How many known unknowns are there in a Grexit?,Europe,PostEverything,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Greece’s political changes put bailout, euro at risk",Europe,Business,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,The deep divides in Greek society that explain Sunday’s austerity vote,Europe,PostEverything,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,7 key things to know about Greece’s debt crisis and what happens next,Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece votes no. Is this the end for the Eurozone?,Europe,Monkey Cage,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Germany sounds ready to kick Greece out of the euro,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Can the European Union recover from Grexit?,Europe,PostEverything,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Meet Germany’s hard-line finance minister who won’t budge on Greece,Europe,Business,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Puerto Rico shows the danger of a high minimum wage,Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greek elections haven’t calmed fears about Europe’s financial health,Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"If Greece is ejected from the euro zone, it faces a chaotic currency switch",Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,A hilarious Monty Python sketch explains why Greece is in a huge crisis,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,,Europe,Europe,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Here’s why it’s so hard to pull Greece out of its economic crisis,Europe,Monkey Cage,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"For Greeks, a culmination after years of pain",Europe,Europe,16
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Germany approves Greek bailout, showing willingness to help Europe",Europe,Business,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Ahead of Greek election, fringe parties find support",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,The face of Greece’s defiance was a brash economist who pushed Greece to reject Europe,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,7 questions about Greece’s huge crisis,Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Germans deny Merkel suggested Greek vote on euro,Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,7 key things to know about Greece’s debt crisis,Europe,Wonkblog,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Germany has defaulted on its debts, too",Europe,WorldViews,16
378,Germans would rather send humanitarian aid than forgive Greece’s debts,European leaders hail breakthrough in debt crisis,Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece asks European partners for new three-year bailout,Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece prepares new bailout bid ahead of E.U. summit,Europe,Europe,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"European talks over Greece resume, but compromise remains elusive",Europe,World,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Why Greece and Germany just don’t get along, in 15 charts",Europe,Wonkblog,16
378,Germans would rather send humanitarian aid than forgive Greece’s debts,What everybody needs to know about the deal to save Greece — and what happens next,Europe,Wonkblog,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Five myths about the euro crisis,Europe,Opinions,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"From Greece talks, a less-united Europe emerges",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Leftist Syriza party set to win Greek vote, setting up showdown with Europe",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,This could be the endgame for Greece,Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,The forgotten origins of Greece’s crisis will make you think twice about who’s to blame,Europe,Wonkblog,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"In Greece, the money flowed freely, until it didn’t",Europe,Business,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece’s new prime minister wants Germany to pay for Nazi war crimes,Europe,WorldViews,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,E.U. slams the door on talks with Greece before Sunday referendum,Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece sets sights on Merkel in effort to roll back austerity measures,Europe,Europe,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greeks work harder than Germans. Who knew?,Europe,Morning Mix,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,The standoff between Germany and Greece goes on full display in Washington,Europe,Business,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,German lawmakers back Greek bailout to clear way for rescue funds,Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Who’s lying in the negotiations over Greece and the euro?,Europe,Monkey Cage,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Cash-strapped Greece looks to Greek Americans for support,Europe,Business,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Greek government coalition talks fail, elections to come",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Europe rallies behind Merkel as Greeks hit breaking point,Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece heads for showdown with Germany over World War II debts,Europe,Europe,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Thomas Piketty accuses Germany of forgetting history as it lectures Greece,Europe,Wonkblog,8
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"In Spain’s bailout request, Greece’s crisis played key role",Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,Greece banks closed amid deepening crisis over future in euro zone,Europe,Europe,4
378,Germans would rather send humanitarian aid than forgive Greece’s debts,"Cyprus, Luxembourg, Italy or Malta: Which country will unravel the euro zone?",Europe,Wonkblog,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,German finance minister Wolfgang Schaeuble vows to ‘defend the euro’,Europe,Europe,2
378,Germans would rather send humanitarian aid than forgive Greece’s debts,A couple of strange ways Greece’s crisis could end,Europe,Wonkblog,4
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"Cuba sanctions make American banks wary, testing U.S. goal of improved ties",Politics,World,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Congresswoman lashes out at tycoon for opening door to Cuba,Politics,Post Politics,16
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"The very, very slow thaw of the half-century U.S.-Cuba standoff",Politics,WorldViews,4
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Clinton says GOP is clinging to the past on Cuba,Politics,Politics,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,The idiosyncratic geopolitics of Jay-Z and Beyonce’s perfectly legal trip to Cuba,Politics,WorldViews,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"Obama vote surges among Miami Cubans, but what does election mean for Cuba?",Politics,World,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"For McAuliffe, Cuba trip to promote Va. products was a bust",Politics,Politics,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Rubio ‘surprised and disappointed’ by sugar tycoon’s position on Cuba,Politics,Post Politics,16
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"FBI seeks source of prostitution, corruption allegations against Sen. Robert Menendez",Politics,Politics,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"Virginia’s governor sets sights on Cuba, other foreign markets",Politics,Virginia Politics,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Cuba decision marks a bet by Obama that Cold War politics have turned a corner,Politics,Politics,8
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,The U.S. sugar industry: Names to know,Politics,Politics,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,"From the Bay of Pigs to the Baltimore Orioles, 50 years of U.S.-Cuba relations",Politics,The Fix,8
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Change in U.S. policy toward Cuba dismantles an artifact of the Cold War,Politics,Style,8
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Obama hails ‘historic step forward’ for U.S. and Cuba with plan to reopen embassies,Politics,Post Politics,4
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Cubans are losing their fear of Castro regime,Politics,The Post's View,2
414,Sugar tycoon Alfonso Fanjul now open to investing in Cuba under ‘right circumstances’,Sugar protections prove easy to swallow for lawmakers on both sides of aisle,Politics,Politics,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Hackers gave Sony Pictures Entertainment a major headache Thanksgiving week,Erik Wemple,The Switch,8
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Sony tells theaters they can pass on showing ‘The Interview.’ Premiere canceled.,Erik Wemple,Morning Mix,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"If Sony Pictures hackers wanted to kill ‘The Interview,’ they failed spectacularly",Erik Wemple,The Switch,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Why it’s so hard to calculate the cost of the Sony Pictures hack,Erik Wemple,The Switch,8
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"Donald Trump, victimized by the First Amendment he abhors",Erik Wemple,Erik Wemple,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"The GitHub attack, part 1: Making international cyber law the ugly way",Erik Wemple,Opinion,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Five questions (and answers) about North Korea and the Sony hack,Erik Wemple,Monkey Cage,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Why cyber armies are a good investment for countries like North Korea,Erik Wemple,The Switch,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,What makes the Sony hack any different from the ‘Fappening’?,Erik Wemple,The Intersect,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,More on the “Sony Disclosure Problem”,Erik Wemple,The Volokh Conspiracy,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,North Korea takes aim at James Franco and Seth Rogen’s new assassination flick,Erik Wemple,WorldViews,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Why Sony probably can’t stop the media from publishing stories from the hack,Erik Wemple,Morning Mix,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,The Switchboard: North Korea denies involvement in ‘righteous’ Sony Pictures hack,Erik Wemple,The Switch,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,North Korea denies hacking Sony but calls the breach a ‘righteous deed’,Erik Wemple,World,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,The cyberattack on Sony Pictures made employees collateral damage,Erik Wemple,The Switch,16
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Can Sony sue media outlets who publish the stolen Sony documents?,Erik Wemple,Opinion,8
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Why North Korea has every reason to be upset about Sony’s ‘The Interview’,Erik Wemple,Morning Mix,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"Sony Pictures hack appears to be linked to North Korea, investigators say",Erik Wemple,National Security,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Experts say it is unlikely N.Korea was behind Sony cyberattack,Erik Wemple,Business,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,How did Mother Jones obtain McConnell tape?,Erik Wemple,Erik Wemple,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Sony executive Amy Pascal apologizes for embarrassing e-mails that have leaked,Erik Wemple,Business,16
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"Sony fights against hackers, who threaten violence at theaters playing ‘The Interview’",Erik Wemple,Business,16
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"Sony’s hacked e-mails expose spats, director calling Angelina Jolie a ‘brat’",Erik Wemple,Business,16
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Sony’s Amy Pascal’s future in Hollywood in doubt following disastrous e-mail hack,Erik Wemple,Morning Mix,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Leaked e-mails show Sony botching its Steve Jobs movie,Erik Wemple,The Switch,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,The Sony hack and the perils of keeping salaries so secret,Erik Wemple,On Leadership,16
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Sony hackers demand ‘The Interview’ not be released,Erik Wemple,Business,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"Seth Rogen, James Franco cancel ‘Tonight Show,’ ‘Late Night,’ other TV appearances after threats",Erik Wemple,Arts and Entertainment,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"Sony Pictures warns news organizations to destroy ‘stolen’ e-mails, documents",Erik Wemple,Morning Mix,16
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,North Korea threatens ‘merciless’ retaliation over James Franco and Seth Rogen assassination comedy,Erik Wemple,WorldViews,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,Sony Pictures hackers invoke 9/11 while threatening theaters that show ‘The Interview’,Erik Wemple,The Switch,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,FBI looks into threatening e-mails sent to Sony workers,Erik Wemple,Business,4
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,"A Sony exec cracks jokes about Obama’s race, and eight more bruising revelations from the Sony leak",Erik Wemple,The Switch,2
822,The Sony hack: Why would any outlet not report the sordid — and newsy — details?,North Korea’s cyberwar on James Franco and Seth Rogen,Erik Wemple,WorldViews,4
363,"Metro, local responders would jointly test radios under new plan",Metro riders describe harrowing experience being trapped on smoke-filled train,Transportation,Local,4
363,"Metro, local responders would jointly test radios under new plan","Rattled Metro riders board again after smoke-filled car kills one, injures dozens",Transportation,Local,4
363,"Metro, local responders would jointly test radios under new plan",D.C. police officer recounts the L’Enfant Plaza Metro rescue operation,Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",Metro passenger fled smoke-filled train rather than wait for rescue,Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",Metro budget staff raises the possibility of fare increases in coming fiscal year,Transportation,Gridlock,2
363,"Metro, local responders would jointly test radios under new plan",10 questions for Metro about the L’Enfant tragedy,Transportation,Dr. Gridlock,4
363,"Metro, local responders would jointly test radios under new plan",Metro board chairman offers few public answers in D.C. Council briefing on L’Enfant,Transportation,D.C. Politics,8
363,"Metro, local responders would jointly test radios under new plan",Metro to face passenger lawsuit after riders were trapped in smoke-filled train,Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",D.C. Homeland Security investigating radio problems in Metro tunnel,Transportation,Local,16
363,"Metro, local responders would jointly test radios under new plan",Report: Radio communication was nonexistent in smoke-filled Metro tunnel,Transportation,D.C. Politics,16
363,"Metro, local responders would jointly test radios under new plan",Metro: Miscommunication complicated Green Line chaos last month,Transportation,Transportation,2
363,"Metro, local responders would jointly test radios under new plan",Documents outline how the NTSB investigation will play out,Transportation,Gridlock,4
363,"Metro, local responders would jointly test radios under new plan",D.C. partly disputes Metro claim that firefighter radios were at fault in rescue,Transportation,D.C. Politics,16
363,"Metro, local responders would jointly test radios under new plan",10 questions for Metro about the L’Enfant tragedy,Transportation,Dr. Gridlock,4
363,"Metro, local responders would jointly test radios under new plan",10 questions for Metro about the L’Enfant tragedy,Transportation,Dr. Gridlock,4
363,"Metro, local responders would jointly test radios under new plan",Metro to install WiFi at all underground stations starting in summer 2017,Transportation,Gridlock,2
363,"Metro, local responders would jointly test radios under new plan","Metro budget committee discusses possible fare hikes, service reductions",Transportation,Transportation,2
363,"Metro, local responders would jointly test radios under new plan",Transit union: Metro has ‘woefully neglected its safety culture’,Transportation,Gridlock,4
363,"Metro, local responders would jointly test radios under new plan",Renewed scrutiny of Metro infrastructure after fatal L’Enfant Plaza incident,Transportation,Transportation,8
363,"Metro, local responders would jointly test radios under new plan",Montgomery firefighters find radio-signal blind spots near 2 Metro stations,Transportation,Transportation,8
363,"Metro, local responders would jointly test radios under new plan",Metro rushes to install more ‘low-smoke’ power cables after L’Enfant Plaza incident,Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",Metro ventilation systems scrutinized as Congress members are briefed on incident,Transportation,Transportation,16
363,"Metro, local responders would jointly test radios under new plan",District’s timeline of Metro’s response to Monday’s L’Enfant Plaza station incident,Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",Metro victim’s family expected to file suit against the agency this week,Transportation,Transportation,16
363,"Metro, local responders would jointly test radios under new plan","Dying among strangers, Metro victim found fellow riders who tried to save her life",Transportation,Transportation,2
363,"Metro, local responders would jointly test radios under new plan","Timeline confirms Metro riders’ accounts of wait for rescue on dark, smoke-filled train",Transportation,Transportation,16
363,"Metro, local responders would jointly test radios under new plan",Metro officials clarify communication breakdown during L’Enfant Plaza incident,Transportation,Transportation,16
363,"Metro, local responders would jointly test radios under new plan","I’m a firefighter and a pilot. If I got stuck on a smoky Metro train, I’d ignore the train operator.",Transportation,PostEverything,2
363,"Metro, local responders would jointly test radios under new plan",Rail power wasn’t only issue in L’Enfant rescue timing,Transportation,Gridlock,4
363,"Metro, local responders would jointly test radios under new plan","One dead after smoke fills Metro station, forcing evacuation",Transportation,Gridlock,4
363,"Metro, local responders would jointly test radios under new plan",Rescuers say Metro didn’t relay severity of situation,Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",10 questions for Metro about the L’Enfant tragedy,Transportation,Gridlock,4
363,"Metro, local responders would jointly test radios under new plan","A day after deadly Metro incident, few details on emergency response",Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",D.C. Mayor Muriel Bowser says she has still not been told when Metro incident began,Transportation,Transportation,8
363,"Metro, local responders would jointly test radios under new plan",10 questions for Metro about the L’Enfant tragedy,Transportation,Dr. Gridlock,4
363,"Metro, local responders would jointly test radios under new plan","If you were trapped in a smoke-filled Metro train, what would you have done?",Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan",Metro identifies passenger killed in L’Enfant incident,Transportation,Local,4
363,"Metro, local responders would jointly test radios under new plan","1 dead, dozens hurt after Metro car fills with smoke",Transportation,Transportation,4
363,"Metro, local responders would jointly test radios under new plan","In Metro crisis, Mayor Bowser shows cautious, go-slow approach",Transportation,D.C. Politics,16
363,"Metro, local responders would jointly test radios under new plan","Despite Metro’s Yellow Line accident, transit is safer than driving",Transportation,Local,2
363,"Metro, local responders would jointly test radios under new plan",Metro rider who helped dying passenger: ‘I told her she was going to be okay.’,Transportation,Gridlock,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",A glimpse of what it’s like for refugees transported in a small van,Post Nation,WorldViews,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Migrant smugglers set ships on autopilot and vanish, leaving them to beach in Europe",Post Nation,Europe,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Yes, Trump will build his border wall. Most of it is already built.",Post Nation,Monkey Cage,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Number of women, children from Central America illegally crossing into U.S. climbs in 2016",Post Nation,Post Politics,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Honduran president: U.S. ‘has enormous responsibility’ for immigration crisis,Post Nation,Post Politics,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Wonkbook: Previewing a huge day of Supreme Court decisions,Post Nation,Wonkblog,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Immigration policy isn’t just borders and fences. It’s trade and aid, too.",Post Nation,Analysis,8
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Among flood fleeing Syria, a trickle crosses ocean to brave Central American smuggling routes",Post Nation,Morning Mix,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",A new age of walls,Post Nation,,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Over 7,100 migrant deaths in 2016 is a world record. More than half were in the Mediterranean.",Post Nation,World,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","In Houston ‘stash house,’ over 100 immigrants were locked up in squalor and filth",Post Nation,Morning Mix,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",San Antonio truck deaths recall horror of 19 who died in 2003 Texas smuggling case,Post Nation,Morning Mix,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Mexican marines kill founder of Zetas drug cartel, then lose corpse",Post Nation,The Americas,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Trump’s border wall ignores a long history of U.S. cooperation with Mexico. That’s a problem.,Post Nation,Analysis,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Mexican kids held for months as punishment for border-crossing,Post Nation,The Americas,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Company whose trailer was used in human smuggling case has history of legal problems,Post Nation,Post Nation,16
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","After deadly smuggling case, officials charge truck driver and decry ‘crime against humanity’",Post Nation,National,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Number of women, children from Central America illegally crossing into U.S. climbs in 2016",Post Nation,Post Politics,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Obama thanks Mexico for ‘absorbing’ Central American refugees. His own administration wants to turn them away.,Post Nation,Post Politics,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Mexico is weak link to cross-border immigration enforcement,Post Nation,World,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Purported Zetas kingpin’s arrest boosts Peña Nieto’s anti-crime credentials,Post Nation,World,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Horrific episode of human smuggling fuels both sides of immigration debate,Post Nation,Immigration,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Smugglers who drove migrants to their deaths were part of a vast web,Post Nation,Europe,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Obama administration announces new steps to stem flow of immigrants at Texas border,Post Nation,Politics,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Watch Texas deputies rescue immigrants who had been trapped in a hot truck for hours,Post Nation,Post Nation,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Obama aides were warned of brewing border crisis,Post Nation,Politics,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Wave of Central American migrants strains Border Patrol, reducing number of drug busts",Post Nation,The Americas,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Smuggling ring from Pakistan and Afghanistan to United States exposed in D.C.,Post Nation,Public Safety,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Texas officials warn of immigrants with terrorist ties crossing southern border,Post Nation,GovBeat,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Mexico’s two major crime cartels now at war,Post Nation,The Americas,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Returning migrants boost Mexico’s middle class,Post Nation,World,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","Cartel boss falls, but Zetas brand strong",Post Nation,The Americas,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",New urgency to cross along tougher U.S. border,Post Nation,The Americas,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",He crossed the border illegally but wasn’t deported — because he brought his child,Post Nation,National,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",9 people dead after at least 39 were found packed in a sweltering tractor-trailer in San Antonio,Post Nation,National,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Overwhelmed federal officials released immigrant teens to traffickers in 2014,Post Nation,National,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident",Mexican soldiers free 165 migrants,Post Nation,The Americas,4
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","In Arizona, border security in spotlight amid immigration-reform efforts, sequester cuts",Post Nation,Local,2
362,"Officials: Trucker indicted, could face death penalty after 10 migrants die in smuggling incident","He was brought to Virginia as a toddler, deported at 19. He died in an overheated tractor-trailer trying to return.",Post Nation,Immigration,4
